source_label,native_category,visual_category,occurrence_count,workflow_count,workflow_ids,recommended_state,note
CLSM electrochemical protocol,component,component,5,5,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med2; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2; manual-icpees-cnrs-unistra-exp-clsm-acidic-supported-electrodes,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Dropcasted Ink on GC Tips,,method,5,5,accelerated-stress-test-ast-on-nanostructured-electrodes; dropcasted-ink-on-gc-tips; eis-on-nanostructured-electrodes; impregnation-by-immersion-and-blade-coating; rde-on-nanostructured-electrodes,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
ECSA (aged),component,component,5,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Flow-field geometry,device,device,5,5,cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; determination-of-cl-saturation-by-saxs-or-sans; fitting-of-the-europium-model; mpl-saturation-determination-from-x-ray-ct-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDE,component,component,5,5,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med2; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2; electrospray-deposition-of-catalyst-layers; gde-catalytic-layer-preparation; gde-cell-for-electrochemical-studies,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDE Catalytic Layer Preparation,,process,5,5,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med2; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2; gde-catalytic-layer-preparation; gde-cell-for-electrochemical-studies; impregnation-by-immersion-and-blade-coating,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate 3D voxel data raw,meso,data,5,5,ct-based-capillary-pressure-saturation-curves; image-classification-of-x-ray-tomography-data; lab-ct-measurements-on-gdl-or-mpl-materials; mpl-saturation-determination-from-x-ray-ct-data; synch-ct-measurements-on-gdl-or-mpl-materials,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate in-plane thermal conductivity,component,component,5,5,cea-mea-model-europium-2d; fitting-of-the-europium-model; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-thermal-conductivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate in-plane tortuosity,component,component,5,5,cea-mea-model-europium-2d; fitting-of-the-europium-model; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate stress-strain curve,component,component,5,5,electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; gas-permeability-of-a-gdl-with-defined-compression; gdl-compressability,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate through-plane thermal conductivity,component,component,5,5,cea-mea-model-europium-2d; fitting-of-the-europium-model; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-thermal-conductivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Hierarchical model for electrocatalytic reactions,,model,5,5,dft-onto-idealized-surfaces; diffusion-theory; fitting-version-of-the-hierachical-model; hierarchical-model-for-electrocatalytic-reactions; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
IET 1D Performance model for MEA (fitting),model,model,5,5,manual-ciemat-exp-single-cell-polarization-eis; manual-hte-exp-cell-testing; manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-large-scale-durability-test; manual-nel-exp-pewe-single-cell-benchtop-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Ink preparation for deposition of catalytic layers,,process,5,5,blade-coating-and-decal-transfer-for-ref-pefc-ccm; electrospray-deposition-of-catalyst-layers; ink-preparation-for-deposition-of-catalytic-layers; rheology; turbiscan-transmission-and-backscattering-stability-testing,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
LAB-CT measurements on GDL/MPL materials,,method,7,5,image-classification-of-fib-tomography-data; image-classification-of-x-ray-tomography-data; image-classification-on-nm-scale; impregnation-by-immersion-and-blade-coating; lab-ct-measurements-on-gdl-or-mpl-materials,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
"Mechanical properties of catalyst layers, GDLs, and MEAs by small-punch and nanoindentation",,method,9,5,blade-coating-and-decal-transfer-for-ref-pefc-ccm; electrospray-deposition-of-catalyst-layers; impregnation-by-immersion-and-blade-coating; mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Membrane proton conductivity,component,component,5,5,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL 3D voxel data raw,meso,data,5,5,fib-measurements-on-gdl-or-mpl-and-catalyst-materials; image-classification-of-fib-tomography-data; image-classification-on-nm-scale; lab-ct-measurements-on-gdl-or-mpl-materials; synch-ct-measurements-on-gdl-or-mpl-materials,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL average pore radius,component,component,5,5,cea-mea-model-europium-2d; fitting-of-the-europium-model; mpl-parameter-estimation-from-gdl-and-substrate-data; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL conductivity,component,component,5,5,cea-mea-model-europium-2d; fitting-of-the-europium-model; mpl-parameter-estimation-from-gdl-and-substrate-data; simulation-of-single-phase-3d-apparent-properties; voxel-based-3d-electric-conductiviy-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL thermal conductivity,component,component,5,5,cea-mea-model-europium-2d; fitting-of-the-europium-model; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-thermal-conductivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL water retention curve,component,component,5,5,cea-mea-model-europium-2d; ct-based-capillary-pressure-saturation-curves; fitting-of-the-europium-model; simulation-of-two-phase-3d-apparent-properties; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Neutron Imaging,,method,5,5,blade-coating-and-decal-transfer-for-ref-pefc-ccm; electrospray-deposition-of-catalyst-layers; impregnation-by-immersion-and-blade-coating; neutron-imaging; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
PTL 3D voxel data classified,meso,data,5,5,voxel-based-3d-effective-diffusivity-simulation; voxel-based-3d-electric-conductiviy-simulation; voxel-based-3d-permability-simulation; voxel-based-3d-thermal-conductivity-simulation; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RDE on mono- or polycrystalline electrodes,,method,10,5,adsorbate-surface-diffusion-on-electrocatalyst-support; diffusion-theory; fitting-version-of-the-hierachical-model; rde-on-mono-or-polycrystalline-electrodes; rrde-theory,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RDE simulation in COMSOL,,model,5,5,adsorbate-surface-diffusion-on-electrocatalyst-support; diffusion-theory; fitting-version-of-the-hierachical-model; rde-simulation-in-comsol; rrde-theory,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Roller mixer and zirconia beads for ref PEFC inks,,method,5,5,blade-coating-and-decal-transfer-for-ref-pefc-ccm; electrospray-deposition-of-catalyst-layers; rheology; roller-mixer-and-zirconia-beads-for-ref-pefc-inks; turbiscan-transmission-and-backscattering-stability-testing,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Sheet resistance measurement,,method,13,5,blade-coating-and-decal-transfer-for-ref-pefc-ccm; cl-for-rde; electrospray-deposition-of-catalyst-layers; sheet-resistance-measurement; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Synch-CT measurements on GDL/MPL materials.,,method,7,5,image-classification-of-fib-tomography-data; image-classification-of-x-ray-tomography-data; image-classification-on-nm-scale; impregnation-by-immersion-and-blade-coating; synch-ct-measurements-on-gdl-or-mpl-materials,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Time series of cell voltage,device,device,5,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; data-extraction-from-existing-pewe-measurements-u-i-t; manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-large-scale-durability-test; manual-nel-exp-pewe-single-cell-benchtop-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Accelerated Stress Test (AST) on Nanostructured Electrodes,,method,8,4,accelerated-stress-test-ast-on-nanostructured-electrodes; dropcasted-ink-on-gc-tips; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Adsorbate conformation on electrode (idealized),LRE,device,4,4,dft-onto-idealized-surfaces; hierarchical-model-for-electrocatalytic-reactions; in-situ-fourier-transformed-ir-in-atr-configuration; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Adsorbate coverage on electrode (idealized),LRE,device,4,4,dip-and-pull-operando-or-in-situ-xps; hierarchical-model-for-electrocatalytic-reactions; in-situ-fourier-transformed-ir-in-atr-configuration; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst morphology,material,material,4,4,image-tem-data-parameter-extraction-3d; manual-fzj-mod-stardist-temseg; manual-fzj-mod-starplatin-temseg; sem-and-fib-powder,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst support density,material,material,4,4,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL 3D voxel data raw,meso,data,4,4,fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fib-sem-on-cl-material; image-classification-of-fib-tomography-data; image-classification-on-nm-scale,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL effective vapor diffusivity,component,component,4,4,diffusivities-from-tortuosities; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-composition-to-property-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL ORR rate prefactor,component,component,4,4,cea-mea-model-europium-2d; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell clamping pressure,device,device,4,4,cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; fitting-of-the-europium-model; neutron-imaging,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Confocal Laser Scanning Microscope (CLSM) + fluorescent probes for local pH assessment in alkaline media in GDE configuration,,method,4,4,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2; development-of-ratiometric-fluorescent-probes-for-local-ph-assessement-in-alkaline-media; electrospray-deposition-of-catalyst-layers; gde-catalytic-layer-preparation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Confocal Laser Scanning Microscope (CLSM) + fluorescent probes for local pH assessment in alkaline media on model/unsupported electrodes,,model,4,4,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m; development-of-ratiometric-fluorescent-probes-for-local-ph-assessement-in-alkaline-media; fitting-version-of-the-hierachical-model; transparent-electrodes-for-clsm-applications,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Contact angle probe liquid(s),material,material,4,4,contact-angle-extraction-of-ct-data; ct-based-capillary-pressure-saturation-curves; external-contact-angle-of-a-gdl; wilhelmy-wettability-measurement,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Development of a zero gap cell for GDE based spectrocopy measurement,,method,4,4,blade-coating-and-decal-transfer-for-ref-pefc-ccm; development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; electrospray-deposition-of-catalyst-layers; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
EIS on nanostructured electrodes,,method,8,4,dropcasted-ink-on-gc-tips; eis-on-nanostructured-electrodes; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Electrospray deposition of Catalyst Layers,process,process,4,4,manual-cea-exp-tem-eds-analysis-cl; manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-large-scale-durability-test; manual-nel-exp-pewe-single-cell-benchtop-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDE cell for electrochemical studies,,method,9,4,electrospray-deposition-of-catalyst-layers; gde-catalytic-layer-preparation; gde-cell-for-electrochemical-studies; impregnation-by-immersion-and-blade-coating,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate 3D voxel data wet classified,meso,data,4,4,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; image-classification-of-x-ray-tomography-data; image-x-ray-tomography-data-parameter-extraction-3d; mpl-saturation-determination-from-x-ray-ct-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate saturation,component,component,4,4,cea-mea-model-europium-2d; iet-1d-performance-model-for-mea-prediction; image-x-ray-tomography-data-parameter-extraction-3d; mpl-saturation-determination-from-x-ray-ct-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate saturation profiles,macrohomogeneous local,other,4,4,cea-mea-model-europium-2d; iet-1d-performance-model-for-mea-prediction; image-x-ray-tomography-data-parameter-extraction-3d; mpl-saturation-determination-from-x-ray-ct-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
In Situ Fourier Transformed IR in ATR configuration,,method,4,4,dft-onto-idealized-surfaces; iet-ink-to-composition-model; in-situ-fourier-transformed-ir-in-atr-configuration; prism-preparation-for-atr-ftir,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Ionomer contact angles,material,material,4,4,iet-ink-to-composition-model; in-situ-fourier-transformed-ir-in-atr-configuration; manual-icpees-cnrs-unistra-psi-exp-in-situ-ftir-atr-configuration-nanostructured; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Ionomer density (dry),material,material,4,4,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; iet-ink-to-composition-model; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Model Electrochemistry in a RDE Cell,,model,8,4,cl-for-rde; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; model-electrochemistry-in-a-rde-cell,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL saturation,component,component,4,4,cea-mea-model-europium-2d; determination-of-cl-saturation-by-saxs-or-sans; image-x-ray-tomography-data-parameter-extraction-3d; mpl-saturation-determination-from-x-ray-ct-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL X-ray 3D voxel data classified,meso,data,4,4,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; image-classification-of-x-ray-tomography-data; image-x-ray-tomography-data-parameter-extraction-3d; mpl-saturation-determination-from-x-ray-ct-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL X-ray 3D voxel data wet classified,meso,data,4,4,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; image-classification-of-x-ray-tomography-data; image-x-ray-tomography-data-parameter-extraction-3d; mpl-saturation-determination-from-x-ray-ct-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Prism Preparation for ATR-FTIR,,process,4,4,image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; in-situ-fourier-transformed-ir-in-atr-configuration; prism-preparation-for-atr-ftir,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RDE electrode (nanostructured),component,component,4,4,accelerated-stress-test-ast-on-nanostructured-electrodes; dropcasted-ink-on-gc-tips; eis-on-nanostructured-electrodes; rde-on-nanostructured-electrodes,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RDE polycrystalline electrode,material,material,4,4,manual-icpees-cnrs-unistra-exp-clsm-acidic-supported-electrodes; rde-on-mono-or-polycrystalline-electrodes; rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RRDE near-electrode (ca. 1mm) pH distribution,LRE,device,4,4,rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol; rrde-theory,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
"Three electrode cell assesement of CL by XAS, XANES, EXAFS, XRD",,method,4,4,blade-coating-and-decal-transfer-for-ref-pefc-ccm; electrospray-deposition-of-catalyst-layers; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
0D Particle population degradation model (fitting),,model,3,3,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
0D Particle population degradation model coupled with performance model fitting,model,model,3,3,manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-large-scale-durability-test; manual-nel-exp-pewe-single-cell-benchtop-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
0D Particle population degradation model coupled with performance model prediction,model,model,3,3,manual-cea-exp-tem-eds-analysis-cl; manual-fzj-mod-stardist-temseg; manual-fzj-mod-starplatin-temseg,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
0D Particle population degradation model prediction,model,model,3,3,manual-cea-exp-tem-eds-analysis-cl; manual-fzj-mod-stardist-temseg; manual-fzj-mod-starplatin-temseg,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Activation barriers of elementary steps,LRE,device,3,3,dft-onto-idealized-surfaces; fitting-version-of-the-hierachical-model; hierarchical-model-for-electrocatalytic-reactions,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Adsorbate types on electrode (nanostructured),LRE,device,3,3,manual-icpees-cnrs-unistra-psi-exp-in-situ-ftir-atr-configuration-nanostructured; operando-or-in-situ-xas-photon-out; thin-windows-operando-or-in-situ-xps,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
ATR-FTIR electrode,component,component,3,3,in-situ-fourier-transformed-ir-in-atr-configuration; manual-icpees-cnrs-unistra-psi-exp-in-situ-ftir-atr-configuration-nanostructured; prism-preparation-for-atr-ftir,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Binding energies of intermediates,LRE,device,3,3,dft-onto-idealized-surfaces; fitting-version-of-the-hierachical-model; hierarchical-model-for-electrocatalytic-reactions,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst elemental composition,material,material,3,3,image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; sem-and-fib-powder,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst loading (aged),component,component,3,3,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL 3D TEM voxel data raw,meso,data,3,3,electron-tomography-for-pt-c-and-ionomer-distribution-in-cl; high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate; image-classification-on-tem-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL average pore radius,component,component,3,3,cea-mea-model-europium-2d; fitting-of-the-europium-model; microscopy-sem-and-optical-in-mea-cross-section,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL conductivity,component,component,3,3,cea-mea-model-europium-2d; fitting-of-the-europium-model; voxel-based-3d-electric-conductiviy-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL ionomer distribution statistics,component,component,3,3,determination-of-cl-saturation-by-saxs-or-sans; image-tem-data-parameter-extraction-3d; ionomer-reconstruction-in-ccl-3d-images,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL ionomer effective film thickness,component,component,3,3,cea-mea-model-europium-2d; fitting-of-the-europium-model; iet-ink-to-composition-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL permeability,component,component,3,3,cea-mea-model-europium-2d; fitting-of-the-europium-model; voxel-based-3d-permability-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL saturation,component,component,3,3,cea-mea-model-europium-2d; determination-of-cl-saturation-by-saxs-or-sans; iet-1d-performance-model-for-mea-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL saturation profiles,macrohomogeneous local,other,3,3,cea-mea-model-europium-2d; determination-of-cl-saturation-by-saxs-or-sans; iet-1d-performance-model-for-mea-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL thermal conductivity,component,component,3,3,cea-mea-model-europium-2d; fitting-of-the-europium-model; voxel-based-3d-thermal-conductivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL vaporization interfacial area factor,component,component,3,3,iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-composition-to-property-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCM area,component,component,3,3,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; manual-hte-exp-cell-testing; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell electrolyte flow,device,device,3,3,operando-or-in-situ-xas-photon-out; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy; thin-windows-operando-or-in-situ-xps,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell inlet O2 mole fraction (dry),device,device,3,3,cea-mea-model-europium-2d; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell operation conditions,device,device,3,3,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; differential-cell-testing; manual-ciemat-exp-single-cell-polarization-eis,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell polarization curve (aged),device,device,3,3,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; manual-nel-exp-large-scale-durability-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell stoichiometries,device,device,3,3,determination-of-cl-saturation-by-saxs-or-sans; iet-1d-performance-model-for-mea-prediction; mpl-saturation-determination-from-x-ray-ct-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell voltammogram,device,device,3,3,differential-cell-testing; fitting-of-the-europium-model; manual-ciemat-exp-single-cell-polarization-eis,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CL on GDL,component,component,3,3,cl-for-rde; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; sheet-resistance-measurement,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CLSM electrochemical response (idealized),LRE,device,3,3,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m; manual-icpees-cnrs-unistra-exp-clsm-acidic-supported-electrodes,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CLSM temperature,component,component,3,3,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m; manual-icpees-cnrs-unistra-exp-clsm-acidic-supported-electrodes,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Confocal Laser Scanning Microscope (CLSM) + fluorescent probes for local pH assessment in acidic media in GDE configuration,,method,3,3,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med2; electrospray-deposition-of-catalyst-layers; gde-catalytic-layer-preparation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
